Year of Birth,Sex,City,State,Zip,Residence County,License Class,Status,Privilege,Year of Expiration,Year of Issue (Estimated),Year of Move (Estimated)
1980,F,LONG BEACH,WA,98631,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1976,M,SPOKANE,WA,99201,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1986,F,TACOMA,WA,98406,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1999,F,SEATTLE,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1994,F,TACOMA,WA,98402,OUT-OF-STATE,D,SURRENDERED,FULL,2031,2023,2030
1994,M,TACOMA,WA,98444,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1996,F,SPOKANE,WA,99207,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1976,M,RICHLAND,WA,99352,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1987,M,BELLEVUE,WA,98008,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1942,F,SAMMAMISH,WA,98075,OUT-OF-STATE,B,SURRENDERED,FULL,2027,2019,2026
1982,M,FEDERAL WAY,WA,98023,OUT-OF-STATE,A,SURRENDERED,FULL,2024,2016,2023
1994,M,BELLEVUE,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1948,M,LAKE STEVENS,WA,98258,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1980,M,REDMOND,WA,98052,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1993,F,SEATTLE,WA,98103,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1957,F,SAMMAMISH,WA,98075,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1991,M,HOQUIAM,WA,98550,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1975,M,KIRKLAND,WA,98034,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1965,F,CAMAS,WA,98607,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1984,M,REDMOND,WA,98052,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1969,M,REDMOND,WA,98052,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1987,F,SEATTLE,WA,98103,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1981,F,SEATTLE,WA,98112,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1983,M,BELLEVUE,WA,98007,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1990,F,CAMAS,WA,98607,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1992,F,SEATTLE,WA,98106,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1994,M,SEATTLE,WA,98101,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
