Year of Birth,Sex,City,State,Zip,Residence County,License Class,Status,Privilege,Year of Expiration
1994,F,seattle,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2026
1963,M,des moines,WA,98198,OUT-OF-STATE,D,VALID,FULL,2029
1963,F,sammamish,WA,98075,OUT-OF-STATE,D,SURRENDERED,FULL,2026
1991,M,bellevue,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1984,M,bellevue,WA,98006,OUT-OF-STATE,D,VALID,FULL,2028
1979,F,seattle,WA,98103,OUT-OF-STATE,D,VALID,FULL,2029
1983,M,seattle,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1976,M,seattle,WA,98118,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1995,M,seattle,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1972,M,seattle,WA,98104,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1974,F,renton,WA,98058,OUT-OF-STATE,D,VALID,FULL,2026
1978,F,woodinville,WA,98072,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1990,M,seattle,WA,98144,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1980,M,seattle,WA,98109,OUT-OF-STATE,D,VALID,FULL,2026
1962,M,kirkland,WA,98033,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1994,M,bellevue,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1992,F,seattle,WA,98199,OUT-OF-STATE,D,VALID,FULL,2030
1987,M,seattle,WA,98144,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1990,M,seattle,WA,98112,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1991,M,redmond,WA,98053,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1980,M,seattle,WA,98178,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1950,F,bellevue,WA,98004,OUT-OF-STATE,D,VALID,FULL,2029
1990,M,seattle,WA,98126,OUT-OF-STATE,D,SUSPENDED,FULL,2027
1973,M,renton,WA,98058,OUT-OF-STATE,D,VALID,FULL,2027
1996,F,kent,WA,98031,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1991,F,sammamish,WA,98029,OUT-OF-STATE,D,SURRENDERED,FULL,2026
1973,M,seattle,WA,98121,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1974,M,bellevue,WA,98004,OUT-OF-STATE,D,VALID,FULL,2029
1948,F,seattle,WA,98126,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1980,M,sammamish,WA,98074,OUT-OF-STATE,D,VALID,FULL,2030
1988,F,seattle,WA,98103,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1985,M,bellevue,WA,98004,OUT-OF-STATE,D,VALID,FULL,2028
1946,M,renton,WA,98055,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1959,F,bellevue,WA,98004,OUT-OF-STATE,D,VALID,FULL,2027
1986,M,seattle,WA,98121,OUT-OF-STATE,D,VALID,FULL,2027
1990,M,seattle,WA,98105,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1971,F,seattle,WA,98115,OUT-OF-STATE,D,VALID,FULL,2025
1962,F,seattle,WA,98103,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1983,M,seattle,WA,98107,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1999,M,seattle,WA,98115,OUT-OF-STATE,D,VALID,FULL,2028
1991,M,kirkland,WA,98033,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1988,F,seattle,WA,98107,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1983,M,seattle,WA,98107,OUT-OF-STATE,D,VALID,FULL,2026
1995,M,des moines,WA,98198,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1990,F,redmond,WA,98052,OUT-OF-STATE,D,VALID,FULL,2025
1993,M,redmond,WA,98052,OUT-OF-STATE,D,VALID,FULL,2028
1977,F,seattle,WA,98121,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1999,M,seattle,WA,98121,OUT-OF-STATE,D,VALID,FULL,2026
1983,M,kirkland,WA,98033,OUT-OF-STATE,D,SURRENDERED,FULL,2026
1990,M,bellevue,WA,98007,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1988,M,seattle,WA,98109,OUT-OF-STATE,D,VALID,FULL,2025
1992,M,seattle,WA,98121,OUT-OF-STATE,D,VALID,FULL,2028
1993,F,seattle,WA,98101,OUT-OF-STATE,D,VALID,FULL,2029
1983,M,seattle,WA,98126,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1999,M,kent,WA,98032,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1992,M,redmond,WA,98052,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1999,F,seattle,WA,98121,OUT-OF-STATE,D,VALID,FULL,2029
1992,F,kent,WA,98032,OUT-OF-STATE,D,SURRENDERED,NONE,2026
1990,M,seattle,WA,98116,OUT-OF-STATE,D,VALID,FULL,2027
1991,M,seattle,WA,98104,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1989,F,bothell,WA,98011,OUT-OF-STATE,D,SURRENDERED,FULL,2026
1987,M,seattle,WA,98106,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1988,M,seattle,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1995,F,seattle,WA,98103,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1987,F,seattle,WA,98133,OUT-OF-STATE,D,VALID,FULL,2027
1987,M,seattle,WA,98121,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1981,M,mercer island,WA,98040,OUT-OF-STATE,D,VALID,FULL,2026
1983,F,bellevue,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1989,M,mercer island,WA,98040,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1995,F,bellevue,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2031
1977,F,seattle,WA,98168,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1994,M,bellevue,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1996,M,bellevue,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1969,M,burien,WA,98148,OUT-OF-STATE,D,SURRENDERED,NONE,2027
2000,M,seattle,WA,98116,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1996,F,carnation,WA,98014,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1986,F,seattle,WA,98144,OUT-OF-STATE,D,VALID,FULL,2026
1975,M,seattle,WA,98177,OUT-OF-STATE,D,SUSPENDED,FULL,2024
1989,F,seattle,WA,98118,OUT-OF-STATE,D,VALID,FULL,2026
1990,M,mercer island,WA,98040,OUT-OF-STATE,D,VALID,FULL,2030
1993,F,kent,WA,98031,OUT-OF-STATE,D,VALID,FULL,2031
