Year of Birth,Sex,City,State,Zip,Residence County,License Class,Status,Privilege,Year of Expiration
1990,F,bellevue,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1994,M,bellevue,WA,98005,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1977,M,seattle,WA,98118,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1989,M,seattle,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2026
1972,M,sammamish,WA,98075,OUT-OF-STATE,D,SURRENDERED,FULL,2026
1990,M,seattle,WA,98107,OUT-OF-STATE,D,VALID,FULL,2028
1958,F,renton,WA,98058,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1987,M,seattle,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1991,M,redmond,WA,98052,OUT-OF-STATE,D,VALID,FULL,2028
1990,M,kirkland,WA,98033,OUT-OF-STATE,D,SURRENDERED,FULL,2026
1978,M,seattle,WA,98107,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1984,F,seattle,WA,98144,OUT-OF-STATE,D,SURRENDERED,FULL,2027
2000,F,duvall,WA,98019,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1968,M,redmond,WA,98052,OUT-OF-STATE,D,VALID,FULL,2025
1988,M,seattle,WA,98101,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1987,M,seattle,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1949,F,redmond,WA,98053,OUT-OF-STATE,D,VALID,FULL,2027
1989,M,seattle,WA,98122,OUT-OF-STATE,D,SURRENDERED,FULL,2026
1989,M,bellevue,WA,98007,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1955,F,auburn,WA,98001,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1989,M,bellevue,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2030
1993,M,seattle,WA,98109,OUT-OF-STATE,D,VALID,FULL,2025
1997,F,seattle,WA,98103,OUT-OF-STATE,D,SURRENDERED,FULL,2026
1991,F,woodinville,WA,98072,OUT-OF-STATE,D,VALID,FULL,2028
1988,M,seattle,WA,98122,OUT-OF-STATE,D,VALID,FULL,2028
1974,F,seattle,WA,98119,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1991,M,woodinville,WA,98072,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1995,M,seattle,WA,98122,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1994,M,bellevue,WA,98005,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1974,M,seattle,WA,98102,OUT-OF-STATE,D,SUSPENDED,FULL,2024
1987,M,seattle,WA,98107,OUT-OF-STATE,D,SURRENDERED,FULL,2026
1946,F,seattle,WA,98133,OUT-OF-STATE,D,VALID,FULL,2025
1972,F,kent,WA,98042,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1951,F,burien,WA,98166,OUT-OF-STATE,D,VALID,FULL,2026
1993,M,maple valley,WA,98038,OUT-OF-STATE,D,VALID,FULL,2028
1996,M,seattle,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1998,F,seattle,WA,98122,OUT-OF-STATE,D,VALID,FULL,2028
1996,M,seattle,WA,98119,OUT-OF-STATE,D,VALID,FULL,2027
1987,M,seattle,WA,98168,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1965,M,auburn,WA,98092,OUT-OF-STATE,D,SURRENDERED,FULL,2026
1996,F,seattle,WA,98119,OUT-OF-STATE,D,VALID,FULL,2026
1979,M,bellevue,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1985,M,seattle,WA,98107,OUT-OF-STATE,D,SURRENDERED,FULL,2026
1999,M,seattle,WA,98107,OUT-OF-STATE,D,VALID,FULL,2028
1998,M,seattle,WA,98107,OUT-OF-STATE,D,SURRENDERED,FULL,2026
1993,M,woodinville,WA,98072,OUT-OF-STATE,D,VALID,FULL,2025
1999,M,seattle,WA,98133,OUT-OF-STATE,D,SURRENDERED,FULL,2030
1987,M,seattle,WA,98107,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1986,F,seattle,WA,98122,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1986,F,seattle,WA,98199,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1953,F,seattle,WA,98117,OUT-OF-STATE,D,VALID,FULL,2027
1981,F,seattle,WA,98122,OUT-OF-STATE,D,VALID,FULL,2026
1998,M,kent,WA,98032,OUT-OF-STATE,D,VALID,FULL,2030
1984,M,seattle,WA,98125,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1985,M,issaquah,WA,98029,OUT-OF-STATE,D,VALID,FULL,2025
1960,M,seattle,WA,98108,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1985,M,bellevue,WA,98008,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1988,F,redmond,WA,98052,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1986,F,bellevue,WA,98006,OUT-OF-STATE,D,VALID,FULL,2025
1990,M,seattle,WA,98126,OUT-OF-STATE,D,VALID,FULL,2024
1997,M,seattle,WA,98116,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1995,M,seattle,WA,98121,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1945,F,kirkland,WA,98033,OUT-OF-STATE,D,VALID,FULL,2025
1995,F,seattle,WA,98115,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1983,F,seattle,WA,98122,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1990,F,mercer island,WA,98040,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1993,F,seattle,WA,98102,OUT-OF-STATE,D,VALID,FULL,2024
1979,M,snoqualmie,WA,98065,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1991,M,kirkland,WA,98034,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1995,M,seattle,WA,98102,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1983,F,seattle,WA,98109,OUT-OF-STATE,D,VALID,FULL,2029
1994,M,bellevue,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1951,F,seattle,WA,98103,OUT-OF-STATE,D,VALID,FULL,2032
1968,F,seattle,WA,98112,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1966,M,algona,WA,98001,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1988,M,seattle,WA,98105,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1987,F,seattle,WA,98102,OUT-OF-STATE,D,VALID,FULL,2024
1994,F,seattle,WA,98121,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1991,F,seattle,WA,98121,OUT-OF-STATE,D,VALID,FULL,2025
1976,F,seattle,WA,98122,OUT-OF-STATE,D,VALID,FULL,2028
1987,F,seattle,WA,98122,OUT-OF-STATE,D,VALID,FULL,2030
1989,M,seattle,WA,98122,OUT-OF-STATE,D,VALID,FULL,2024
1991,F,seattle,WA,98109,OUT-OF-STATE,D,VALID,FULL,2025
1990,F,seattle,WA,98125,OUT-OF-STATE,D,VALID,FULL,2024
1988,F,seattle,WA,98122,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1953,F,seattle,WA,98116,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1970,F,federal way,WA,98023,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1991,F,seattle,WA,98119,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1997,F,seattle,WA,98121,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1996,F,seattle,WA,98115,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1991,M,seattle,WA,98126,OUT-OF-STATE,D,VALID,FULL,2026
1991,F,seattle,WA,98107,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1995,M,seattle,WA,98133,OUT-OF-STATE,D,SUSPENDED,FULL,2024
1990,F,kent,WA,98042,OUT-OF-STATE,D,VALID,FULL,2024
1995,F,seattle,WA,98102,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1991,F,kirkland,WA,98033,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1990,M,seattle,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1987,M,seattle,WA,98103,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1990,M,renton,WA,98059,OUT-OF-STATE,D,VALID,FULL,2024
1993,F,seattle,WA,98109,OUT-OF-STATE,D,VALID,FULL,2024
1969,F,snoqualmie,WA,98065,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1976,F,bellevue,WA,98004,OUT-OF-STATE,D,VALID,FULL,2028
1993,F,renton,WA,98058,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1985,F,seattle,WA,98109,OUT-OF-STATE,D,VALID,FULL,2030
1987,M,seattle,WA,98121,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1975,M,seattle,WA,98118,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1987,F,seattle,WA,98104,OUT-OF-STATE,D,SURRENDERED,FULL,2026
1993,M,seattle,WA,98101,OUT-OF-STATE,D,VALID,FULL,2026
1984,F,north bend,WA,98045,OUT-OF-STATE,D,VALID,FULL,2028
1977,M,seattle,WA,98101,OUT-OF-STATE,D,SURRENDERED,FULL,2028
2000,M,seattle,WA,98102,OUT-OF-STATE,D,SURRENDERED,FULL,2030
1989,F,redmond,WA,98052,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1980,M,seattle,WA,98178,OUT-OF-STATE,D,SUSPENDED,FULL,2025
1984,M,seattle,WA,98121,OUT-OF-STATE,D,VALID,FULL,2028
1981,M,seattle,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1991,M,kent,WA,98031,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1999,F,renton,WA,98055,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1970,M,bellevue,WA,98008,OUT-OF-STATE,D,VALID,FULL,2026
1994,F,seattle,WA,98144,OUT-OF-STATE,D,VALID,FULL,2032
1995,M,seattle,WA,98125,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1997,M,seattle,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1982,M,bellevue,WA,98008,OUT-OF-STATE,D,SUSPENDED,FULL,2028
1972,M,sammamish,WA,98074,OUT-OF-STATE,D,VALID,FULL,2028
1996,M,seattle,WA,98101,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1972,F,kent,WA,98042,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1977,M,seattle,WA,98102,OUT-OF-STATE,D,VALID,FULL,2028
1988,M,bellevue,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1992,F,bellevue,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1988,F,bellevue,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1988,M,bellevue,WA,98006,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1996,M,seattle,WA,98121,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1996,M,federal way,WA,98023,OUT-OF-STATE,D,SUSPENDED,FULL,2027
1989,F,redmond,WA,98052,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1926,F,bothell,WA,98011,OUT-OF-STATE,D,VALID,FULL,2028
1951,F,normandy park,WA,98166,OUT-OF-STATE,D,SURRENDERED,FULL,2026
1983,M,kirkland,WA,98033,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1982,M,redmond,WA,98052,OUT-OF-STATE,D,SURRENDERED,FULL,2026
1988,F,seattle,WA,98121,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1991,M,seattle,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1996,F,seattle,WA,98144,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1991,M,issaquah,WA,98027,OUT-OF-STATE,D,VALID,FULL,2028
1980,F,kirkland,WA,98033,OUT-OF-STATE,D,VALID,FULL,2025
1989,F,seattle,WA,98119,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1987,M,covington,WA,98042,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1999,M,bellevue,WA,98004,OUT-OF-STATE,D,VALID,FULL,2027
1998,M,seattle,WA,98101,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1992,M,bellevue,WA,98007,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1996,F,bellevue,WA,98006,OUT-OF-STATE,D,VALID,FULL,2029
1993,M,seattle,WA,98112,OUT-OF-STATE,D,SURRENDERED,FULL,2026
1960,M,seattle,WA,98101,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1942,F,seattle,WA,98101,OUT-OF-STATE,D,VALID,FULL,2028
1998,F,seattle,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1968,M,seattle,WA,98144,OUT-OF-STATE,D,VALID,FULL,2027
1997,M,seattle,WA,98199,OUT-OF-STATE,D,SUSPENDED,FULL,2025
1976,M,lake forest park,WA,98155,OUT-OF-STATE,D,VALID,FULL,2030
1973,F,seattle,WA,98117,OUT-OF-STATE,D,VALID,FULL,2027
1986,M,seattle,WA,98106,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1985,M,seattle,WA,98144,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1981,F,seattle,WA,98115,OUT-OF-STATE,D,SURRENDERED,FULL,2026
1989,F,seattle,WA,98121,OUT-OF-STATE,D,VALID,FULL,2028
1978,M,sammamish,WA,98075,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1983,F,redmond,WA,98052,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1987,M,seattle,WA,98119,OUT-OF-STATE,D,SURRENDERED,FULL,2026
1994,F,seattle,WA,98109,OUT-OF-STATE,D,VALID,FULL,2025
1994,M,seattle,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1979,M,redmond,WA,98052,OUT-OF-STATE,D,VALID,FULL,2029
1990,M,redmond,WA,98052,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1992,M,renton,WA,98057,OUT-OF-STATE,D,VALID,FULL,2030
1989,M,seattle,WA,98103,OUT-OF-STATE,D,SURRENDERED,FULL,2026
1991,M,seattle,WA,98116,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1994,M,seattle,WA,98107,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1968,F,bellevue,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1939,M,kent,WA,98032,OUT-OF-STATE,D,SURRENDERED,FULL,2026
1994,F,kirkland,WA,98034,OUT-OF-STATE,D,SURRENDERED,FULL,2030
1992,M,bothell,WA,98011,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1996,M,seattle,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1988,F,seattle,WA,98103,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1983,M,issaquah,WA,98029,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1992,F,kenmore,WA,98028,OUT-OF-STATE,D,SUSPENDED,FULL,2029
1989,F,lake forest park,WA,98155,OUT-OF-STATE,D,VALID,FULL,2026
1952,M,seattle,WA,98125,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1999,M,seattle,WA,98101,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1989,M,bellevue,WA,98007,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1967,M,kent,WA,98030,OUT-OF-STATE,D,SURRENDERED,FULL,2030
1998,M,kenmore,WA,98028,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1995,M,bellevue,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1995,M,seattle,WA,98121,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1978,F,redmond,WA,98052,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1985,M,newcastle,WA,98056,OUT-OF-STATE,D,SURRENDERED,FULL,2026
1995,F,auburn,WA,98002,OUT-OF-STATE,D,SURRENDERED,FULL,2026
1994,M,seattle,WA,98103,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1986,F,redmond,WA,98052,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1992,M,burien,WA,98168,OUT-OF-STATE,D,VALID,FULL,2025
1990,M,bellevue,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1973,F,seattle,WA,98168,OUT-OF-STATE,D,VALID,FULL,2028
1990,M,bellevue,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1967,M,maple valley,WA,98038,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1979,M,seattle,WA,98121,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1991,M,kirkland,WA,98033,OUT-OF-STATE,D,SURRENDERED,FULL,2030
1932,F,bellevue,WA,98004,OUT-OF-STATE,D,VALID,FULL,2026
1973,F,seattle,WA,98144,OUT-OF-STATE,D,VALID,FULL,2029
1998,M,seattle,WA,98105,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1982,M,seattle,WA,98112,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1998,F,seattle,WA,98109,OUT-OF-STATE,D,VALID,FULL,2030
1991,F,seattle,WA,98168,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1998,M,seattle,WA,98125,OUT-OF-STATE,D,SURRENDERED,FULL,2026
1990,M,seattle,WA,98121,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1981,M,seattle,WA,98118,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1996,F,seattle,WA,98103,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1983,F,federal way,WA,98003,OUT-OF-STATE,D,VALID,FULL,2030
1988,M,lake forest park,WA,98155,OUT-OF-STATE,D,SURRENDERED,FULL,2026
1989,M,shoreline,WA,98177,OUT-OF-STATE,D,VALID,FULL,2029
1938,F,north bend,WA,98045,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1991,M,woodinville,WA,98072,OUT-OF-STATE,D,SURRENDERED,FULL,2026
1982,M,seattle,WA,98104,OUT-OF-STATE,D,VALID,FULL,2029
1982,F,redmond,WA,98052,OUT-OF-STATE,D,VALID,FULL,2025
1984,M,seattle,WA,98199,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1994,M,seattle,WA,98104,OUT-OF-STATE,D,VALID,FULL,2025
2000,F,renton,WA,98058,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1943,M,seattle,WA,98126,OUT-OF-STATE,D,SURRENDERED,FULL,2026
1989,F,bellevue,WA,98007,OUT-OF-STATE,D,SURRENDERED,FULL,2024
2000,F,seattle,WA,98126,OUT-OF-STATE,D,VALID,FULL,2029
1987,M,seattle,WA,98105,OUT-OF-STATE,D,VALID,FULL,2024
1993,F,seattle,WA,98109,OUT-OF-STATE,D,VALID,FULL,2031
1997,F,federal way,WA,98023,OUT-OF-STATE,D,VALID,FULL,2025
1987,F,seattle,WA,98125,OUT-OF-STATE,D,VALID,FULL,2025
1988,F,seattle,WA,98103,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1989,F,bellevue,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1988,F,seattle,WA,98121,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1991,M,renton,WA,98058,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1951,M,seattle,WA,98121,OUT-OF-STATE,D,VALID,FULL,2028
1990,M,kirkland,WA,98034,OUT-OF-STATE,D,SURRENDERED,FULL,2030
1943,M,seattle,WA,98125,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1980,F,seattle,WA,98133,OUT-OF-STATE,D,SUSPENDED,FULL,2026
1988,F,seattle,WA,98199,OUT-OF-STATE,D,VALID,FULL,2028
1990,F,renton,WA,98058,OUT-OF-STATE,D,VALID,FULL,2029
1990,M,kirkland,WA,98034,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1997,F,seattle,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1989,M,burien,WA,98148,OUT-OF-STATE,D,SURRENDERED,FULL,2026
1964,F,burien,WA,98168,OUT-OF-STATE,D,VALID,FULL,2028
1999,F,seattle,WA,98117,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1996,M,bothell,WA,98021,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1992,M,seattle,WA,98107,OUT-OF-STATE,D,VALID,FULL,2029
1988,M,seattle,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1993,M,bellevue,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2028
